dataset,horizon,seed,model,mse_norm,mae_norm,baseline_mse_norm,delta_mse_vs_srsnet_pct,baseline_mae_norm,delta_mae_vs_srsnet_pct
ETTh1,96,2021,SRSNet,0.4360,0.4531,0.4360,+0.00,0.4531,+0.00
ETTh1,96,2021,SRSNet_RandomSP,0.4356,0.4522,0.4360,-0.09,0.4531,-0.19
ETTh1,96,2021,SRSNet_RandomSPNoShuffle,0.4359,0.4519,0.4360,-0.02,0.4531,-0.25
ETTh1,96,2022,SRSNet,0.4359,0.4523,0.4359,+0.00,0.4523,+0.00
ETTh1,96,2022,SRSNet_RandomSP,0.4362,0.4522,0.4359,+0.05,0.4523,-0.01
ETTh1,96,2022,SRSNet_RandomSPNoShuffle,0.4360,0.4519,0.4359,+0.02,0.4523,-0.08
ETTh1,96,2023,SRSNet,0.4364,0.4534,0.4364,+0.00,0.4534,+0.00
ETTh1,96,2023,SRSNet_RandomSP,0.4358,0.4521,0.4364,-0.14,0.4534,-0.29
ETTh1,96,2023,SRSNet_RandomSPNoShuffle,0.4360,0.4519,0.4364,-0.10,0.4534,-0.33
ETTh1,96,2024,SRSNet,0.4365,0.4535,0.4365,+0.00,0.4535,+0.00
ETTh1,96,2024,SRSNet_RandomSP,0.4362,0.4522,0.4365,-0.09,0.4535,-0.30
ETTh1,96,2024,SRSNet_RandomSPNoShuffle,0.4361,0.4521,0.4365,-0.10,0.4535,-0.32
ETTh1,96,2025,SRSNet,0.4350,0.4531,0.4350,+0.00,0.4531,+0.00
ETTh1,96,2025,SRSNet_RandomSP,0.4365,0.4524,0.4350,+0.35,0.4531,-0.16
ETTh1,96,2025,SRSNet_RandomSPNoShuffle,0.4365,0.4523,0.4350,+0.35,0.4531,-0.17
ETTh1,720,2021,SRSNet,0.6577,0.6025,0.6577,+0.00,0.6025,+0.00
ETTh1,720,2021,SRSNet_RandomSP,0.6540,0.5990,0.6577,-0.57,0.6025,-0.58
ETTh1,720,2021,SRSNet_RandomSPNoShuffle,0.6535,0.5985,0.6577,-0.65,0.6025,-0.67
ETTh1,720,2022,SRSNet,0.6621,0.6065,0.6621,+0.00,0.6065,+0.00
ETTh1,720,2022,SRSNet_RandomSP,0.6527,0.5989,0.6621,-1.42,0.6065,-1.25
ETTh1,720,2022,SRSNet_RandomSPNoShuffle,0.6526,0.5985,0.6621,-1.44,0.6065,-1.32
ETTh1,720,2023,SRSNet,0.6582,0.6033,0.6582,+0.00,0.6033,+0.00
ETTh1,720,2023,SRSNet_RandomSP,0.6544,0.5999,0.6582,-0.59,0.6033,-0.56
ETTh1,720,2023,SRSNet_RandomSPNoShuffle,0.6524,0.5984,0.6582,-0.88,0.6033,-0.81
ETTh1,720,2024,SRSNet,0.6643,0.6065,0.6643,+0.00,0.6065,+0.00
ETTh1,720,2024,SRSNet_RandomSP,0.6513,0.5976,0.6643,-1.96,0.6065,-1.47
ETTh1,720,2024,SRSNet_RandomSPNoShuffle,0.6526,0.5984,0.6643,-1.77,0.6065,-1.34
ETTh1,720,2025,SRSNet,0.6598,0.6039,0.6598,+0.00,0.6039,+0.00
ETTh1,720,2025,SRSNet_RandomSP,0.6601,0.6037,0.6598,+0.04,0.6039,-0.03
ETTh1,720,2025,SRSNet_RandomSPNoShuffle,0.6559,0.6012,0.6598,-0.60,0.6039,-0.44
ETTm2,96,2021,SRSNet,0.1464,0.2515,0.1464,+0.00,0.2515,+0.00
ETTm2,96,2021,SRSNet_RandomSP,0.1488,0.2537,0.1464,+1.63,0.2515,+0.89
ETTm2,96,2021,SRSNet_RandomSPNoShuffle,0.1492,0.2538,0.1464,+1.87,0.2515,+0.92
ETTm2,96,2022,SRSNet,0.1483,0.2525,0.1483,+0.00,0.2525,+0.00
ETTm2,96,2022,SRSNet_RandomSP,0.1483,0.2531,0.1483,-0.03,0.2525,+0.24
ETTm2,96,2022,SRSNet_RandomSPNoShuffle,0.1484,0.2523,0.1483,+0.09,0.2525,-0.06
ETTm2,96,2023,SRSNet,0.1477,0.2530,0.1477,+0.00,0.2530,+0.00
ETTm2,96,2023,SRSNet_RandomSP,0.1490,0.2549,0.1477,+0.88,0.2530,+0.76
ETTm2,96,2023,SRSNet_RandomSPNoShuffle,0.1484,0.2523,0.1477,+0.42,0.2530,-0.28
ETTm2,96,2024,SRSNet,0.1487,0.2538,0.1487,+0.00,0.2538,+0.00
ETTm2,96,2024,SRSNet_RandomSP,0.1479,0.2524,0.1487,-0.53,0.2538,-0.55
ETTm2,96,2024,SRSNet_RandomSPNoShuffle,0.1484,0.2523,0.1487,-0.18,0.2538,-0.55
ETTm2,96,2025,SRSNet,0.1494,0.2539,0.1494,+0.00,0.2539,+0.00
ETTm2,96,2025,SRSNet_RandomSP,0.1468,0.2515,0.1494,-1.73,0.2539,-0.94
ETTm2,96,2025,SRSNet_RandomSPNoShuffle,0.1484,0.2523,0.1494,-0.69,0.2539,-0.65
ETTm2,720,2021,SRSNet,0.2673,0.3441,0.2673,+0.00,0.3441,+0.00
ETTm2,720,2021,SRSNet_RandomSP,0.2695,0.3440,0.2673,+0.82,0.3441,-0.02
ETTm2,720,2021,SRSNet_RandomSPNoShuffle,0.2766,0.3496,0.2673,+3.50,0.3441,+1.62
ETTm2,720,2022,SRSNet,0.2631,0.3436,0.2631,+0.00,0.3436,+0.00
ETTm2,720,2022,SRSNet_RandomSP,0.2701,0.3446,0.2631,+2.68,0.3436,+0.29
ETTm2,720,2022,SRSNet_RandomSPNoShuffle,0.2684,0.3435,0.2631,+2.00,0.3436,-0.03
ETTm2,720,2023,SRSNet,0.2702,0.3494,0.2702,+0.00,0.3494,+0.00
ETTm2,720,2023,SRSNet_RandomSP,0.2711,0.3462,0.2702,+0.33,0.3494,-0.94
ETTm2,720,2023,SRSNet_RandomSPNoShuffle,0.2724,0.3473,0.2702,+0.81,0.3494,-0.61
ETTm2,720,2024,SRSNet,0.2780,0.3544,0.2780,+0.00,0.3544,+0.00
ETTm2,720,2024,SRSNet_RandomSP,0.2727,0.3474,0.2780,-1.92,0.3544,-1.97
ETTm2,720,2024,SRSNet_RandomSPNoShuffle,0.2700,0.3449,0.2780,-2.91,0.3544,-2.67
ETTm2,720,2025,SRSNet,0.2752,0.3489,0.2752,+0.00,0.3489,+0.00
ETTm2,720,2025,SRSNet_RandomSP,0.2694,0.3452,0.2752,-2.12,0.3489,-1.07
ETTm2,720,2025,SRSNet_RandomSPNoShuffle,0.2695,0.3449,0.2752,-2.06,0.3489,-1.15
